BaseType3|SkyByte-W|SkyByte-WP|SkyByte-Full

bc       
0.015625  0.498 0.012 0.013 0.120
0.03125   0.681 0.017 0.018 0.138
0.046875  0.771 0.019 0.018 0.138
0.0625    0.821 0.072 0.072 0.185
0.078125  0.854 0.074 0.075 0.185
0.09375   0.876 0.074 0.075 0.185
0.109375  0.893 0.074 0.075 0.185
0.125     0.906 0.074 0.075 0.185
0.140625  0.917 0.074 0.075 0.185
0.15625   0.927 0.074 0.075 0.185
0.171875  0.935 0.074 0.075 0.185
0.1875    0.943 0.077 0.078 0.187
0.203125  0.949 0.079 0.078 0.187
0.21875   0.954 0.079 0.080 0.190
0.234375  0.959 0.079 0.080 0.192
0.25      0.963 0.079 0.080 0.192
0.265625  0.967 0.079 0.080 0.192
0.28125   0.970 0.079 0.080 0.192
0.296875  0.972 0.079 0.080 0.194
0.3125    0.975 0.084 0.085 0.201
0.328125  0.977 0.086 0.088 0.203
0.34375   0.978 0.088 0.088 0.203
0.359375  0.980 0.088 0.088 0.205
0.375     0.981 0.088 0.088 0.205
0.390625  0.982 0.088 0.088 0.205
0.40625   0.983 0.088 0.088 0.205
0.421875  0.984 0.088 0.088 0.208
0.4375    0.985 0.088 0.088 0.208
0.453125  0.986 0.088 0.088 0.208
0.46875   0.986 0.088 0.088 0.208
0.484375  0.987 0.091 0.090 0.210
0.5       0.987 0.091 0.090 0.210
0.515625  0.988 0.091 0.090 0.210
0.53125   0.988 0.093 0.096 0.214
0.546875  0.988 0.093 0.096 0.214
0.5625    0.989 0.093 0.096 0.214
0.578125  0.989 0.093 0.096 0.214
0.59375   0.989 0.093 0.096 0.214
0.609375  0.989 0.093 0.096 0.214
0.625     0.989 0.093 0.096 0.214
0.640625  0.990 0.093 0.096 0.214
0.65625   0.990 0.093 0.096 0.214
0.671875  0.990 0.093 0.096 0.214
0.6875    0.990 0.093 0.096 0.214
0.703125  0.990 0.103 0.103 0.219
0.71875   0.990 0.103 0.103 0.219
0.734375  0.990 0.103 0.103 0.219
0.75      0.990 0.105 0.103 0.219
0.765625  0.990 0.108 0.103 0.219
0.78125   0.990 0.108 0.103 0.219
0.796875  0.990 0.108 0.103 0.219
0.8125    0.990 0.108 0.103 0.219
0.828125  0.990 0.108 0.103 0.219
0.84375   0.990 0.110 0.106 0.221
0.859375  0.991 0.110 0.106 0.223
0.875     0.991 0.110 0.106 0.223
0.890625  0.991 0.110 0.106 0.223
0.90625   0.991 0.110 0.106 0.223
0.921875  0.991 0.110 0.106 0.223
0.9375    0.991 0.110 0.106 0.223
0.953125  0.991 0.155 0.155 0.266
0.96875   0.991 0.158 0.158 0.269
